customer_id,health_score,risk_segment,monthly_active_days,feature_adoption_rate_pct,avg_daily_session_mins,api_calls_count,export_reports_count,total_tickets_logged,avg_resolution_time_hrs,escalated_tickets_count,csat_score
CUST-100000,72.4,Low Risk (Healthy),23,69.0,108.7,129,45,0,0.0,0,3.5
CUST-100001,21.6,High Risk (Critical),9,28.4,17.9,66,17,3,39.4,0,3.0
CUST-100002,25.2,High Risk (Critical),10,28.5,21.7,37,36,2,53.4,0,3.0
CUST-100003,63.8,Medium Risk (Warning),19,94.3,92.7,99,34,3,14.2,0,4.0
CUST-100004,11.5,High Risk (Critical),11,31.2,5.9,137,16,3,52.6,0,1.0
CUST-100005,6.5,High Risk (Critical),7,25.9,18.7,18,4,2,37.0,1,2.0
CUST-100006,70.0,Low Risk (Healthy),24,67.0,93.4,68,37,1,16.5,0,4.0
CUST-100007,12.7,High Risk (Critical),12,22.3,6.2,150,26,2,64.1,0,1.0
CUST-100008,5.0,High Risk (Critical),6,39.9,7.1,136,32,3,47.7,1,1.0
CUST-100009,78.5,Low Risk (Healthy),25,67.8,89.8,133,8,1,9.1,0,5.0
CUST-100010,44.7,High Risk (Critical),10,34.4,4.2,121,14,0,0.0,0,3.5
CUST-100011,9.0,High Risk (Critical),7,22.4,15.1,145,45,1,40.1,1,2.0
CUST-100012,25.7,High Risk (Critical),13,11.0,16.5,58,5,1,23.7,0,2.0
CUST-100013,74.8,Low Risk (Healthy),22,81.5,77.9,128,32,0,0.0,0,3.5
CUST-100014,33.3,High Risk (Critical),1,36.7,11.0,133,20,0,0.0,0,3.5
CUST-100015,72.2,Low Risk (Healthy),18,90.6,42.7,3245,45,0,0.0,0,3.5
CUST-100016,15.4,High Risk (Critical),8,28.0,13.9,130,11,2,29.4,1,3.0
CUST-100017,19.4,High Risk (Critical),5,11.6,18.0,128,44,1,38.3,0,3.0
CUST-100018,75.6,Low Risk (Healthy),29,85.6,100.2,2705,29,2,13.6,0,3.5
CUST-100019,29.9,High Risk (Critical),13,30.9,11.8,50,20,2,53.5,0,3.0
CUST-100020,13.2,High Risk (Critical),8,20.0,12.3,138,1,3,27.8,0,2.0
CUST-100021,70.0,Low Risk (Healthy),21,69.9,33.8,1858,17,0,0.0,0,3.5
CUST-100022,17.7,High Risk (Critical),14,17.7,8.4,138,34,4,18.2,0,2.0
CUST-100023,10.6,High Risk (Critical),4,15.3,10.6,128,18,2,26.5,0,2.0
CUST-100024,14.7,High Risk (Critical),2,38.2,21.6,106,42,3,43.1,0,3.0
CUST-100025,26.9,High Risk (Critical),14,30.4,17.3,126,37,3,54.9,0,3.0
CUST-100026,38.5,High Risk (Critical),12,33.8,13.6,60,44,1,13.0,0,3.0
CUST-100027,72.9,Low Risk (Healthy),16,90.7,41.1,38,45,1,13.2,0,5.0
CUST-100028,5.0,High Risk (Critical),5,40.6,20.7,133,33,4,50.7,0,1.0
CUST-100029,14.7,High Risk (Critical),14,38.9,17.5,57,19,2,29.2,1,1.0
CUST-100030,64.3,Medium Risk (Warning),16,93.6,98.5,118,11,1,16.9,0,3.5
CUST-100031,19.6,High Risk (Critical),14,20.4,4.6,45,9,3,41.5,0,2.0
CUST-100032,12.0,High Risk (Critical),14,21.1,14.3,21,15,3,66.9,1,2.0
CUST-100033,56.8,Medium Risk (Warning),15,52.7,70.7,71,9,0,0.0,0,3.5
CUST-100034,78.2,Low Risk (Healthy),28,66.3,56.1,44,0,0,0.0,0,3.5
CUST-100035,7.3,High Risk (Critical),9,14.7,6.3,124,3,3,25.2,0,1.0
CUST-100036,17.4,High Risk (Critical),5,10.1,17.6,57,42,2,18.5,0,3.0
CUST-100037,57.0,Medium Risk (Warning),15,53.5,35.8,1074,7,0,0.0,0,3.5
CUST-100038,20.7,High Risk (Critical),11,14.8,16.9,25,45,2,19.2,0,2.0
CUST-100039,56.1,Medium Risk (Warning),16,67.7,32.9,36,5,1,20.1,0,3.5
CUST-100040,20.3,High Risk (Critical),11,20.4,15.9,63,40,1,67.6,0,2.0
CUST-100041,44.1,High Risk (Critical),10,32.7,16.4,119,38,0,0.0,0,3.5
CUST-100042,70.8,Low Risk (Healthy),22,68.3,26.8,26,6,0,0.0,0,3.5
CUST-100043,63.8,Medium Risk (Warning),18,82.9,94.2,4521,43,2,8.4,0,4.0
CUST-100044,69.7,Medium Risk (Warning),25,65.7,105.9,3600,27,1,2.6,0,3.5
CUST-100045,47.6,Medium Risk (Warning),10,44.1,15.0,32,3,0,0.0,0,3.5
CUST-100046,65.1,Medium Risk (Warning),21,65.8,83.5,1586,9,1,21.4,0,4.0
CUST-100047,72.2,Low Risk (Healthy),24,64.0,48.0,89,36,0,0.0,0,3.5
CUST-100048,7.1,High Risk (Critical),4,18.7,17.4,130,30,2,14.6,0,1.0
CUST-100049,9.5,High Risk (Critical),14,12.1,16.1,109,24,2,54.1,1,2.0
CUST-100050,40.4,High Risk (Critical),6,37.9,17.5,29,39,0,0.0,0,3.5
CUST-100051,6.4,High Risk (Critical),5,21.6,15.6,87,42,1,38.3,1,2.0
CUST-100052,5.0,High Risk (Critical),11,13.4,12.7,57,12,1,45.8,1,1.0
CUST-100053,15.2,High Risk (Critical),11,14.8,14.8,92,25,2,15.0,0,1.0
CUST-100054,58.3,Medium Risk (Warning),18,61.6,29.4,588,37,1,9.8,0,3.5
CUST-100055,80.2,Low Risk (Healthy),27,77.3,54.4,2556,45,0,0.0,0,3.5
CUST-100056,5.8,High Risk (Critical),5,40.3,16.7,53,4,4,34.3,1,2.0
CUST-100057,74.9,Low Risk (Healthy),24,88.4,104.0,5408,42,3,13.3,0,5.0
CUST-100058,15.8,High Risk (Critical),8,43.3,20.3,87,1,3,63.1,0,2.0
CUST-100059,77.7,Low Risk (Healthy),25,67.1,49.2,885,0,1,14.2,0,5.0
CUST-100060,31.7,High Risk (Critical),3,22.2,7.0,72,24,0,0.0,0,3.5
CUST-100061,63.2,Medium Risk (Warning),16,69.5,100.9,94,24,0,0.0,0,3.5
CUST-100062,12.1,High Risk (Critical),14,17.8,4.9,117,42,3,46.9,0,1.0
