cohort_month,activity_month,period_number,starting_customers,retained_customers,customer_retention_rate_pct,starting_mrr,retained_mrr,revenue_retention_rate_pct
2024-01,2024-01,0,566,16,2.83,90586.9,1492.4,1.65
2024-01,2024-02,1,566,554,97.88,90586.9,89798.9,99.13
2024-01,2024-03,2,566,508,89.75,90586.9,84667.25,93.47
2024-01,2024-04,3,566,463,81.8,90586.9,80203.55,88.54
2024-01,2024-05,4,566,431,76.15,90586.9,76515.25,84.47
2024-01,2024-06,5,566,396,69.96,90586.9,73029.65,80.62
2024-01,2024-07,6,566,375,66.25,90586.9,69500.65,76.72
2024-01,2024-08,7,566,357,63.07,90586.9,68126.0,75.21
2024-01,2024-09,8,566,346,61.13,90586.9,67009.35,73.97
2024-01,2024-10,9,566,337,59.54,90586.9,66375.7,73.27
2024-01,2024-11,10,566,325,57.42,90586.9,65387.7,72.18
2024-01,2024-12,11,566,317,56.01,90586.9,63853.05,70.49
2024-01,2025-01,12,566,315,55.65,90586.9,63762.4,70.39
2024-02,2024-02,0,512,22,4.3,88003.75,3793.6,4.31
2024-02,2024-03,1,512,503,98.24,88003.75,87262.75,99.16
2024-02,2024-04,2,512,447,87.3,88003.75,82348.45,93.57
2024-02,2024-05,3,512,404,78.91,88003.75,77856.15,88.47
2024-02,2024-06,4,512,380,74.22,88003.75,75552.5,85.85
2024-02,2024-07,5,512,356,69.53,88003.75,73398.55,83.4
2024-02,2024-08,6,512,336,65.62,88003.75,70948.25,80.62
2024-02,2024-09,7,512,321,62.7,88003.75,69757.95,79.27
2024-02,2024-10,8,512,311,60.74,88003.75,69067.95,78.48
2024-02,2024-11,9,512,302,58.98,88003.75,68526.95,77.87
2024-02,2024-12,10,512,298,58.2,88003.75,68230.95,77.53
2024-02,2025-01,11,512,294,57.42,88003.75,67834.95,77.08
2024-02,2025-02,12,512,292,57.03,88003.75,67736.95,76.97
2024-03,2024-03,0,572,14,2.45,99019.2,2311.9,2.33
2024-03,2024-04,1,572,559,97.73,99019.2,98089.55,99.06
2024-03,2024-05,2,572,502,87.76,99019.2,93101.1,94.02
2024-03,2024-06,3,572,459,80.24,99019.2,89746.15,90.64
2024-03,2024-07,4,572,423,73.95,99019.2,86498.9,87.36
2024-03,2024-08,5,572,389,68.01,99019.2,82140.25,82.95
2024-03,2024-09,6,572,364,63.64,99019.2,80467.0,81.26
2024-03,2024-10,7,572,349,61.01,99019.2,79369.05,80.16
2024-03,2024-11,8,572,339,59.27,99019.2,78029.05,78.8
2024-03,2024-12,9,572,333,58.22,99019.2,77435.05,78.2
2024-03,2025-01,10,572,328,57.34,99019.2,77112.4,77.88
2024-03,2025-02,11,572,322,56.29,99019.2,76718.4,77.48
2024-03,2025-03,12,572,318,55.59,99019.2,76422.4,77.18
2024-04,2024-04,0,547,18,3.29,94056.9,3616.0,3.84
2024-04,2024-05,1,547,538,98.35,94056.9,93315.9,99.21
2024-04,2024-06,2,547,487,89.03,94056.9,88683.65,94.29
2024-04,2024-07,3,547,444,81.17,94056.9,83913.7,89.22
2024-04,2024-08,4,547,411,75.14,94056.9,80648.75,85.74
2024-04,2024-09,5,547,385,70.38,94056.9,78474.75,83.43
2024-04,2024-10,6,547,360,65.81,94056.9,76272.1,81.09
2024-04,2024-11,7,547,341,62.34,94056.9,74941.1,79.68
2024-04,2024-12,8,547,333,60.88,94056.9,74249.1,78.94
2024-04,2025-01,9,547,320,58.5,94056.9,72869.45,77.47
2024-04,2025-02,10,547,307,56.12,94056.9,72039.8,76.59
2024-04,2025-03,11,547,302,55.21,94056.9,71502.15,76.02
2024-04,2025-04,12,547,295,53.93,94056.9,71066.5,75.56
2024-05,2024-05,0,552,18,3.26,96536.3,2875.25,2.98
2024-05,2024-06,1,552,546,98.91,96536.3,95792.3,99.23
2024-05,2024-07,2,552,482,87.32,96536.3,90106.3,93.34
2024-05,2024-08,3,552,439,79.53,96536.3,85693.7,88.77
2024-05,2024-09,4,552,398,72.1,96536.3,81549.4,84.48
2024-05,2024-10,5,552,368,66.67,96536.3,78729.4,81.55
2024-05,2024-11,6,552,348,63.04,96536.3,76581.15,79.33
2024-05,2024-12,7,552,335,60.69,96536.3,75758.85,78.48
2024-05,2025-01,8,552,325,58.88,96536.3,75068.85,77.76
2024-05,2025-02,9,552,315,57.07,96536.3,73843.55,76.49
2024-05,2025-03,10,552,306,55.43,96536.3,73202.55,75.83
2024-05,2025-04,11,552,300,54.35,96536.3,72608.55,75.21
