customer_id,signup_date,acquisition_channel,country,customer_segment
CUST-100000,2025-10-16,Organic Search,Canada,SMB
CUST-100001,2024-04-14,Referral,Australia,SMB
CUST-100002,2024-01-31,Organic Search,United States,SMB
CUST-100003,2025-10-27,Email Campaign,United States,SMB
CUST-100004,2024-01-07,Email Campaign,United States,SMB
CUST-100005,2024-08-08,Social Media,United States,SMB
CUST-100006,2024-12-18,Referral,India,Mid-Market
CUST-100007,2025-01-22,Organic Search,United States,SMB
CUST-100008,2025-01-05,Referral,Canada,SMB
CUST-100009,2024-10-23,outbound_sales,India,Mid-Market
CUST-100010,2025-04-09,Referral,United States,SMB
CUST-100011,2024-09-30,Email Campaign,Germany,SMB
CUST-100012,2025-06-30,Email Campaign,United States,SMB
CUST-100013,2025-10-17,Email Campaign,United States,SMB
CUST-100014,2024-02-27,Organic Search,United States,SMB
CUST-100015,2024-08-04,Social Media,United Kingdom,Mid-Market
CUST-100016,2025-05-26,Paid Ads,Australia,SMB
CUST-100017,2024-09-09,Email Campaign,United Kingdom,Mid-Market
CUST-100018,2025-08-20,Paid Ads,United States,Enterprise
CUST-100019,2024-04-03,Email Campaign,India,SMB
CUST-100020,2025-11-27,Paid Ads,United States,SMB
CUST-100021,2025-06-25,Paid Ads,United Kingdom,Enterprise
CUST-100022,2024-04-27,Email Campaign,United Kingdom,SMB
CUST-100023,2024-04-24,Paid Ads,United States,SMB
CUST-100024,2024-09-26,outbound_sales,Canada,SMB
CUST-100025,2025-10-02,Paid Ads,Germany,SMB
CUST-100026,2024-06-14,referral,Canada,SMB
CUST-100027,2024-11-27,Paid Ads,United States,SMB
CUST-100028,2024-11-10,Organic Search,United States,SMB
CUST-100029,2025-05-12,Direct,Netherlands,SMB
CUST-100030,2025-11-06,Paid Ads,United Kingdom,SMB
CUST-100031,2025-03-09,outbound_sales,France,Mid-Market
CUST-100032,2024-11-15,Paid Ads,Germany,SMB
CUST-100033,2025-04-07,Organic Search,United States,SMB
CUST-100034,2024-08-23,Referral,United States,Mid-Market
CUST-100035,2024-03-10,Social Media,India,SMB
CUST-100036,2025-11-16,Paid Ads,United Kingdom,Mid-Market
CUST-100037,2025-08-13,Paid Ads,Canada,Mid-Market
CUST-100038,2024-04-09,Referral,United States,SMB
CUST-100039,2024-02-25,Referral,Netherlands,SMB
CUST-100040,2024-12-13,Direct,United States,SMB
CUST-100041,2024-05-23,Paid Ads,United States,SMB
CUST-100042,2025-03-29,Direct,India,SMB
CUST-100043,2025-07-07,Direct,Netherlands,Enterprise
CUST-100044,2024-06-19,Paid Ads,United Kingdom,Mid-Market
CUST-100045,2024-06-17,Paid Ads,Netherlands,SMB
CUST-100046,2025-04-10,Paid Ads,Germany,Mid-Market
CUST-100047,2025-11-08,Email Campaign,United States,SMB
CUST-100048,2025-08-16,Email Campaign,United States,SMB
CUST-100049,2025-05-03,Paid Ads,India,SMB
CUST-100050,2024-03-23,Direct,United States,SMB
CUST-100051,2025-02-17,Organic Search,Australia,SMB
CUST-100052,2025-09-26,Organic Search,Germany,SMB
CUST-100053,2024-09-24,Organic Search,Canada,SMB
CUST-100054,2025-11-18,Referral,United Kingdom,Enterprise
CUST-100055,2024-01-10,Paid Ads,Netherlands,Enterprise
CUST-100056,2024-08-06,Paid Ads,United States,SMB
CUST-100057,2024-09-07,Paid Ads,United States,Mid-Market
CUST-100058,2025-09-18,outbound_sales,India,SMB
CUST-100059,2025-07-21,Paid Ads,Germany,Enterprise
CUST-100060,2024-04-28,Direct,Canada,SMB
CUST-100061,2024-08-03,Email Campaign,United States,SMB
CUST-100062,2025-05-15,Paid Ads,Australia,SMB
CUST-100063,2024-10-10,Organic Search,United States,SMB
CUST-100064,2024-06-14,email campaign,United Kingdom,SMB
CUST-100065,2024-03-18,social media,Germany,SMB
CUST-100066,2025-01-13,Referral,United States,SMB
CUST-100067,2024-02-10,Direct,United States,SMB
CUST-100068,2025-07-27,Direct,United States,SMB
CUST-100069,2024-08-30,Direct,Netherlands,Mid-Market
CUST-100070,2024-01-26,Organic Search,France,Mid-Market
CUST-100071,2025-11-16,Direct,India,SMB
CUST-100072,2024-04-20,Paid Ads,United States,SMB
CUST-100073,2025-04-16,Paid Ads,India,Mid-Market
CUST-100074,2025-11-06,Organic Search,United States,Mid-Market
CUST-100075,2024-10-12,Paid Ads,United Kingdom,Mid-Market
CUST-100076,2024-12-05,Social Media,United States,Enterprise
CUST-100077,2024-09-28,Organic Search,Germany,SMB
CUST-100078,2025-03-22,Referral,United Kingdom,SMB
CUST-100079,2024-09-17,Organic Search,United Kingdom,SMB
CUST-100080,2025-11-17,Organic Search,United Kingdom,Enterprise
CUST-100081,2025-09-30,Paid Ads,India,Mid-Market
CUST-100082,2024-11-12,Referral,United States,Mid-Market
CUST-100083,2024-07-15,Paid Ads,France,Mid-Market
CUST-100084,2025-09-22,Referral,United States,Mid-Market
CUST-100085,2024-08-03,Paid Ads,United Kingdom,Mid-Market
CUST-100086,2025-03-28,Referral,United Kingdom,Mid-Market
CUST-100087,2024-06-22,Referral,United States,Mid-Market
CUST-100088,2024-04-05,Direct,Canada,Mid-Market
CUST-100089,2024-07-22,Organic Search,United States,Enterprise
CUST-100090,2024-03-15,Paid Ads,Australia,SMB
CUST-100091,2025-01-28,paid ads,United States,Mid-Market
CUST-100092,2024-04-19,Email Campaign,United States,Mid-Market
CUST-100093,2025-04-20,Organic Search,United States,Mid-Market
CUST-100094,2025-04-20,Referral,Netherlands,SMB
CUST-100095,2025-03-29,Referral,Canada,SMB
CUST-100096,2025-07-15,Paid Ads,United States,Mid-Market
CUST-100097,2024-09-10,Direct,United States,Mid-Market
CUST-100098,2024-09-01,Paid Ads,United States,SMB
CUST-100099,2024-11-23,Direct,United States,SMB
CUST-100100,2024-06-05,Email Campaign,United States,SMB
CUST-100101,2025-03-01,Organic Search,India,SMB
CUST-100102,2024-01-21,direct,Canada,SMB
CUST-100103,2024-12-26,Paid Ads,United States,Mid-Market
CUST-100104,2025-07-05,Email Campaign,United Kingdom,SMB
CUST-100105,2024-08-12,Paid Ads,United Kingdom,SMB
CUST-100106,2025-02-18,Email Campaign,India,Enterprise
CUST-100107,2025-06-30,organic search,United States,SMB
CUST-100108,2025-10-20,Paid Ads,India,SMB
CUST-100109,2024-12-01,Organic Search,United States,Mid-Market
CUST-100110,2025-03-07,Paid Ads,United States,SMB
CUST-100111,2024-12-24,Organic Search,United States,Enterprise
CUST-100112,2024-02-01,Social Media,United States,SMB
CUST-100113,2024-05-09,Paid Ads,United States,Enterprise
CUST-100114,2024-09-19,Email Campaign,United States,SMB
CUST-100115,2024-04-27,Email Campaign,United States,SMB
CUST-100116,2024-11-15,Referral,Australia,SMB
CUST-100117,2024-07-22,Organic Search,Germany,SMB
CUST-100118,2024-11-04,Direct,Germany,SMB
CUST-100119,2024-02-12,Paid Ads,United Kingdom,SMB
CUST-100120,2024-12-15,Organic Search,United Kingdom,SMB
CUST-100121,2025-01-05,Referral,India,Mid-Market
CUST-100122,2025-06-18,outbound_sales,United States,Mid-Market
CUST-100123,2025-05-10,Paid Ads,India,SMB
CUST-100124,2024-09-08,Direct,United States,Mid-Market
CUST-100125,2025-04-20,Referral,Germany,SMB
CUST-100126,2024-11-28,Organic Search,United States,Mid-Market
CUST-100127,2025-09-02,Email Campaign,United States,SMB
CUST-100128,2024-03-28,Organic Search,United States,SMB
CUST-100129,2025-05-02,Referral,United Kingdom,Mid-Market
CUST-100130,2024-08-14,Paid Ads,United States,Mid-Market
CUST-100131,2025-07-20,Referral,United Kingdom,Mid-Market
CUST-100132,2025-04-09,Paid Ads,United States,SMB
CUST-100133,2024-05-02,Email Campaign,France,Mid-Market
CUST-100134,2025-05-10,Paid Ads,Germany,Mid-Market
CUST-100135,2024-04-12,Direct,United States,SMB
CUST-100136,2025-06-30,Organic Search,United States,SMB
CUST-100137,2024-05-09,referral,Canada,SMB
CUST-100138,2024-10-18,Paid Ads,United Kingdom,SMB
CUST-100139,2025-05-04,Organic Search,United States,SMB
CUST-100140,2024-02-24,Organic Search,India,Enterprise
CUST-100141,2024-09-11,Organic Search,Canada,SMB
CUST-100142,2024-08-19,Email Campaign,United States,Enterprise
CUST-100143,2025-08-25,outbound_sales,United States,SMB
CUST-100144,2024-04-11,Social Media,United States,SMB
CUST-100145,2024-06-09,Organic Search,United Kingdom,SMB
CUST-100146,2025-08-31,Paid Ads,United States,SMB
CUST-100147,2025-04-09,Organic Search,United States,SMB
CUST-100148,2025-08-26,Referral,France,SMB
CUST-100149,2025-10-25,Organic Search,United States,SMB
CUST-100150,2024-11-10,Referral,India,Enterprise
CUST-100151,2025-04-24,Email Campaign,Germany,Enterprise
CUST-100152,2025-05-20,Paid Ads,Germany,Mid-Market
CUST-100153,2025-09-10,Paid Ads,United States,Enterprise
CUST-100154,2025-08-12,Referral,United States,Mid-Market
CUST-100155,2025-08-13,Organic Search,Canada,SMB
CUST-100156,2024-10-11,Organic Search,Germany,SMB
CUST-100157,2024-04-03,Paid Ads,United States,SMB
CUST-100158,2024-06-13,Paid Ads,Germany,SMB
CUST-100159,2025-07-17,Organic Search,United States,SMB
CUST-100160,2025-02-17,Direct,India,SMB
CUST-100161,2025-04-18,Paid Ads,United States,SMB
CUST-100162,2025-10-02,Paid Ads,United States,SMB
CUST-100163,2024-10-21,Paid Ads,Germany,SMB
CUST-100164,2025-09-15,email campaign,Canada,SMB
CUST-100165,2025-02-21,Organic Search,Netherlands,Enterprise
CUST-100166,2024-04-30,Referral,United States,Enterprise
CUST-100167,2024-10-06,Paid Ads,United Kingdom,SMB
CUST-100168,2024-05-28,Paid Ads,France,SMB
CUST-100169,2024-03-12,Paid Ads,India,SMB
CUST-100170,2025-06-03,Paid Ads,United States,Mid-Market
CUST-100171,2025-08-16,outbound_sales,United Kingdom,SMB
CUST-100172,2024-12-19,Paid Ads,Canada,SMB
CUST-100173,2024-07-12,outbound_sales,United States,SMB
CUST-100174,2025-02-24,Organic Search,Canada,Mid-Market
CUST-100175,2025-01-30,outbound_sales,India,Mid-Market
CUST-100176,2024-02-07,Organic Search,Netherlands,SMB
CUST-100177,2025-03-26,Organic Search,Australia,SMB
CUST-100178,2025-11-01,outbound_sales,United States,Mid-Market
CUST-100179,2025-09-30,Email Campaign,Germany,Mid-Market
CUST-100180,2025-06-30,Paid Ads,United States,Mid-Market
CUST-100181,2025-07-08,Organic Search,United States,SMB
CUST-100182,2024-08-20,Email Campaign,United Kingdom,SMB
CUST-100183,2024-04-12,Paid Ads,Germany,Enterprise
CUST-100184,2024-02-27,Paid Ads,United States,SMB
CUST-100185,2025-08-02,Email Campaign,United States,SMB
CUST-100186,2025-01-26,Referral,United States,Enterprise
CUST-100187,2025-04-17,Referral,United Kingdom,Mid-Market
CUST-100188,2025-04-21,Social Media,Germany,SMB
CUST-100189,2024-12-19,outbound_sales,United States,Enterprise
CUST-100190,2025-04-12,Direct,United States,SMB
CUST-100191,2024-08-30,Paid Ads,United States,SMB
CUST-100192,2024-01-23,outbound_sales,Germany,SMB
CUST-100193,2024-02-20,Social Media,Canada,Mid-Market
CUST-100194,2024-08-23,Referral,United States,SMB
CUST-100195,2025-11-25,Email Campaign,Canada,Mid-Market
CUST-100196,2024-04-09,Social Media,Germany,SMB
CUST-100197,2025-08-16,Paid Ads,United States,Enterprise
CUST-100198,2025-03-01,Organic Search,United States,SMB
CUST-100199,2025-06-27,Paid Ads,United States,SMB
CUST-100200,2025-05-08,outbound_sales,United States,Mid-Market
CUST-100201,2025-04-24,outbound_sales,United States,Enterprise
CUST-100202,2025-11-21,outbound_sales,Netherlands,Mid-Market
CUST-100203,2025-02-08,Organic Search,United Kingdom,SMB
CUST-100204,2025-11-19,Paid Ads,United States,SMB
CUST-100205,2025-11-22,Organic Search,United States,Mid-Market
CUST-100206,2025-09-16,Organic Search,United States,Mid-Market
CUST-100207,2024-11-05,referral,United States,SMB
CUST-100208,2025-05-19,Organic Search,United States,SMB
CUST-100209,2025-01-14,Referral,Canada,Enterprise
CUST-100210,2024-06-07,Direct,Germany,Mid-Market
CUST-100211,2024-10-13,Organic Search,United States,SMB
CUST-100212,2025-01-06,Organic Search,Germany,SMB
CUST-100213,2025-01-02,Organic Search,United States,Enterprise
CUST-100214,2025-04-10,Organic Search,United States,SMB
CUST-100215,2024-02-21,Email Campaign,United States,SMB
CUST-100216,2024-03-11,Direct,United Kingdom,SMB
CUST-100217,2024-08-26,paid ads,United States,Enterprise
CUST-100218,2024-05-28,outbound_sales,United Kingdom,Mid-Market
CUST-100219,2024-01-27,Organic Search,United States,Mid-Market
CUST-100220,2024-01-17,Organic Search,United States,Mid-Market
CUST-100221,2024-03-06,Paid Ads,Canada,SMB
CUST-100222,2025-05-30,Organic Search,Germany,Mid-Market
CUST-100223,2025-11-05,Paid Ads,United Kingdom,Enterprise
CUST-100224,2025-05-05,Direct,United Kingdom,SMB
CUST-100225,2025-03-30,Organic Search,United States,SMB
CUST-100226,2024-10-08,Referral,Germany,Mid-Market
CUST-100227,2025-09-03,Referral,United Kingdom,SMB
CUST-100228,2024-04-27,Direct,Germany,Mid-Market
CUST-100229,2024-08-08,Paid Ads,Australia,SMB
CUST-100230,2025-02-12,Paid Ads,United States,SMB
CUST-100231,2025-01-18,Social Media,Germany,SMB
CUST-100232,2024-03-28,Organic Search,United States,Mid-Market
CUST-100233,2025-07-23,Organic Search,France,SMB
CUST-100234,2025-02-24,Paid Ads,Germany,Mid-Market
CUST-100235,2024-02-22,outbound_sales,Germany,SMB
CUST-100236,2024-08-05,Organic Search,United Kingdom,Mid-Market
CUST-100237,2025-07-23,Paid Ads,Canada,SMB
CUST-100238,2025-07-28,outbound_sales,India,SMB
CUST-100239,2024-01-27,referral,Germany,Mid-Market
CUST-100240,2024-10-06,email campaign,United States,SMB
CUST-100241,2024-05-26,Referral,United States,SMB
CUST-100242,2024-02-01,Organic Search,United Kingdom,SMB
CUST-100243,2024-06-10,Paid Ads,Canada,Mid-Market
CUST-100244,2024-03-27,Direct,United States,Mid-Market
CUST-100245,2024-03-24,Paid Ads,Germany,SMB
CUST-100246,2024-10-06,Organic Search,United Kingdom,SMB
CUST-100247,2025-11-25,Referral,United Kingdom,Mid-Market
CUST-100248,2025-02-08,outbound_sales,United States,SMB
CUST-100249,2024-05-20,Email Campaign,United States,SMB
CUST-100250,2025-03-16,Organic Search,United States,Mid-Market
CUST-100251,2025-11-15,Direct,United States,Mid-Market
CUST-100252,2024-01-20,Paid Ads,United States,SMB
CUST-100253,2025-02-18,email campaign,United States,SMB
CUST-100254,2024-11-28,Organic Search,France,SMB
CUST-100255,2025-01-05,Organic Search,India,SMB
CUST-100256,2025-06-20,Organic Search,Australia,Mid-Market
CUST-100257,2024-06-21,Organic Search,Germany,SMB
CUST-100258,2024-12-23,Paid Ads,France,SMB
CUST-100259,2024-04-15,Organic Search,United States,SMB
CUST-100260,2025-11-02,Organic Search,France,SMB
CUST-100261,2025-07-31,Email Campaign,United Kingdom,Enterprise
CUST-100262,2025-10-12,outbound_sales,United States,Enterprise
CUST-100263,2025-03-26,Organic Search,United Kingdom,SMB
CUST-100264,2024-02-27,paid ads,United States,SMB
CUST-100265,2025-01-12,Direct,United States,Mid-Market
CUST-100266,2025-09-21,Referral,United States,SMB
CUST-100267,2024-02-12,Paid Ads,India,Mid-Market
CUST-100268,2025-05-02,Paid Ads,France,SMB
CUST-100269,2024-12-17,outbound_sales,United States,SMB
CUST-100270,2025-03-24,outbound_sales,United Kingdom,SMB
CUST-100271,2024-10-16,Paid Ads,Canada,Mid-Market
CUST-100272,2025-10-08,Referral,United States,SMB
CUST-100273,2024-10-17,Paid Ads,India,Enterprise
CUST-100274,2024-06-02,Paid Ads,Germany,SMB
CUST-100275,2025-11-02,Email Campaign,United States,SMB
CUST-100276,2024-11-13,Referral,Germany,SMB
CUST-100277,2025-06-23,organic search,Germany,SMB
CUST-100278,2024-11-12,Organic Search,United States,Enterprise
CUST-100279,2024-08-19,outbound_sales,United States,SMB
CUST-100280,2025-06-03,email campaign,India,Mid-Market
CUST-100281,2024-12-10,Direct,Germany,SMB
CUST-100282,2024-07-04,Direct,Canada,Mid-Market
CUST-100283,2025-03-24,Organic Search,United States,Mid-Market
CUST-100284,2025-09-17,Paid Ads,Canada,SMB
CUST-100285,2024-11-12,outbound_sales,Canada,Enterprise
CUST-100286,2025-11-25,Social Media,Netherlands,SMB
CUST-100287,2025-01-26,Paid Ads,United States,SMB
CUST-100288,2025-09-11,Organic Search,United States,SMB
CUST-100289,2025-07-21,Social Media,Canada,SMB
CUST-100290,2024-03-26,Email Campaign,United States,Enterprise
CUST-100291,2025-03-23,Organic Search,Australia,Mid-Market
CUST-100292,2024-01-28,Paid Ads,United States,SMB
CUST-100293,2024-03-24,Paid Ads,United States,Enterprise
CUST-100294,2025-10-27,Paid Ads,United States,SMB
CUST-100295,2025-04-28,Email Campaign,United States,Mid-Market
CUST-100296,2024-01-06,Social Media,United States,SMB
CUST-100297,2025-09-15,Paid Ads,United States,SMB
CUST-100298,2024-02-18,Organic Search,Germany,SMB
CUST-100299,2025-05-26,Referral,United States,SMB
CUST-100300,2024-05-27,Paid Ads,United States,SMB
CUST-100301,2024-07-10,Referral,United States,Enterprise
CUST-100302,2025-06-22,referral,Canada,SMB
CUST-100303,2025-04-26,Organic Search,United States,SMB
CUST-100304,2024-12-31,Email Campaign,United States,Mid-Market
CUST-100305,2025-08-18,Email Campaign,United States,SMB
CUST-100306,2025-10-20,Organic Search,Canada,SMB
CUST-100307,2025-10-08,Organic Search,United States,Mid-Market
CUST-100308,2024-02-07,Paid Ads,United States,SMB
CUST-100309,2024-11-13,Paid Ads,Netherlands,SMB
CUST-100310,2025-10-24,Organic Search,United States,Mid-Market
CUST-100311,2024-12-05,Paid Ads,India,SMB
CUST-100312,2025-03-26,Direct,United States,Enterprise
CUST-100313,2025-05-24,Paid Ads,India,SMB
CUST-100314,2025-03-10,Organic Search,Germany,Mid-Market
CUST-100315,2024-11-24,Organic Search,United States,SMB
CUST-100316,2025-03-12,Organic Search,United Kingdom,SMB
CUST-100317,2024-12-27,Referral,United Kingdom,SMB
CUST-100318,2024-02-28,Organic Search,Germany,SMB
CUST-100319,2025-11-26,Organic Search,United States,Mid-Market
CUST-100320,2025-03-24,Organic Search,United States,Mid-Market
CUST-100321,2025-01-27,Social Media,United States,SMB
CUST-100322,2025-01-14,Paid Ads,Canada,SMB
CUST-100323,2025-02-11,paid ads,United States,Enterprise
CUST-100324,2024-07-09,Paid Ads,United States,SMB
CUST-100325,2024-09-23,Email Campaign,United States,SMB
CUST-100326,2025-05-17,Organic Search,United States,SMB
CUST-100327,2025-03-31,outbound_sales,India,Enterprise
CUST-100328,2025-11-14,Paid Ads,United States,SMB
CUST-100329,2024-06-10,Email Campaign,France,SMB
CUST-100330,2025-06-04,Organic Search,Netherlands,Mid-Market
CUST-100331,2025-05-20,Organic Search,United Kingdom,SMB
CUST-100332,2025-07-18,Organic Search,Australia,SMB
CUST-100333,2025-05-05,Paid Ads,Canada,Mid-Market
CUST-100334,2024-11-20,Referral,United Kingdom,Mid-Market
CUST-100335,2025-07-18,Referral,United States,Enterprise
CUST-100336,2024-02-26,Direct,United Kingdom,SMB
CUST-100337,2024-08-18,Paid Ads,France,Mid-Market
CUST-100338,2024-09-13,Organic Search,France,SMB
CUST-100339,2025-09-21,Referral,United Kingdom,SMB
CUST-100340,2024-06-06,Organic Search,Germany,Enterprise
CUST-100341,2025-07-31,Organic Search,India,SMB
CUST-100342,2025-08-13,Paid Ads,United States,SMB
CUST-100343,2024-02-01,Paid Ads,Germany,SMB
CUST-100344,2025-05-09,Organic Search,India,SMB
CUST-100345,2024-03-02,Organic Search,United States,SMB
CUST-100346,2024-05-27,Paid Ads,Canada,Mid-Market
CUST-100347,2025-02-12,Organic Search,United States,SMB
CUST-100348,2025-04-22,Organic Search,United Kingdom,SMB
CUST-100349,2025-01-28,Direct,United States,Enterprise
CUST-100350,2024-12-01,Social Media,Canada,SMB
CUST-100351,2025-06-11,Paid Ads,Australia,SMB
CUST-100352,2025-02-06,Paid Ads,Netherlands,SMB
CUST-100353,2024-02-21,Paid Ads,Germany,Mid-Market
CUST-100354,2024-10-19,Referral,India,SMB
CUST-100355,2025-01-09,Email Campaign,United States,SMB
CUST-100356,2024-07-18,Paid Ads,United States,SMB
CUST-100357,2025-07-17,Paid Ads,Netherlands,Mid-Market
CUST-100358,2024-04-09,Paid Ads,India,SMB
CUST-100359,2024-05-27,Organic Search,United Kingdom,SMB
CUST-100360,2024-05-20,Email Campaign,India,SMB
CUST-100361,2025-06-11,Organic Search,France,SMB
CUST-100362,2025-09-23,Email Campaign,United States,SMB
CUST-100363,2025-06-29,paid ads,United Kingdom,SMB
CUST-100364,2024-12-05,Referral,Netherlands,SMB
CUST-100365,2025-10-06,Organic Search,United Kingdom,Enterprise
CUST-100366,2025-08-15,Referral,Canada,SMB
CUST-100367,2025-10-06,Email Campaign,Canada,SMB
CUST-100368,2024-09-05,organic search,France,SMB
CUST-100369,2024-11-17,Paid Ads,United States,SMB
CUST-100370,2025-09-18,Social Media,Australia,Mid-Market
CUST-100371,2024-05-21,Paid Ads,United Kingdom,Enterprise
CUST-100372,2025-01-20,Paid Ads,United States,Enterprise
CUST-100373,2024-12-28,Referral,India,Mid-Market
CUST-100374,2024-09-27,Referral,United States,SMB
CUST-100375,2024-08-18,Social Media,Netherlands,Mid-Market
CUST-100376,2025-05-15,Paid Ads,United States,Enterprise
CUST-100377,2024-10-07,Paid Ads,United Kingdom,SMB
CUST-100378,2025-02-08,Direct,France,Mid-Market
CUST-100379,2024-10-21,Social Media,United States,Enterprise
CUST-100380,2025-05-05,Organic Search,India,SMB
CUST-100381,2024-10-05,Organic Search,Germany,SMB
CUST-100382,2025-11-16,Social Media,United States,SMB
CUST-100383,2024-12-04,email campaign,United States,Mid-Market
CUST-100384,2025-07-17,outbound_sales,United States,Mid-Market
CUST-100385,2025-05-02,Paid Ads,United States,Enterprise
CUST-100386,2025-10-23,Organic Search,Canada,Mid-Market
CUST-100387,2024-02-08,Social Media,United States,Mid-Market
CUST-100388,2024-02-07,outbound_sales,United States,SMB
CUST-100389,2024-10-23,Direct,United States,SMB
CUST-100390,2024-12-09,Paid Ads,Netherlands,SMB
CUST-100391,2024-05-17,Direct,United Kingdom,SMB
CUST-100392,2024-06-15,email campaign,Germany,Mid-Market
CUST-100393,2024-12-11,Email Campaign,United Kingdom,Mid-Market
CUST-100394,2025-10-16,Direct,India,SMB
CUST-100395,2025-11-16,Organic Search,Netherlands,SMB
CUST-100396,2024-01-07,Paid Ads,United States,Mid-Market
CUST-100397,2024-11-05,Referral,United Kingdom,SMB
CUST-100398,2024-08-29,Organic Search,United States,SMB
CUST-100399,2025-05-29,Social Media,Australia,Mid-Market
CUST-100400,2025-10-16,Social Media,United States,SMB
CUST-100401,2024-05-16,Paid Ads,United Kingdom,Enterprise
CUST-100402,2025-07-16,Social Media,Canada,Mid-Market
CUST-100403,2024-09-10,Email Campaign,Germany,Mid-Market
CUST-100404,2025-06-24,Email Campaign,United States,SMB
CUST-100405,2025-07-14,Social Media,United States,SMB
CUST-100406,2025-06-16,Paid Ads,Germany,Mid-Market
CUST-100407,2025-06-06,Paid Ads,United States,SMB
CUST-100408,2025-07-31,Organic Search,United Kingdom,Mid-Market
CUST-100409,2025-02-09,Paid Ads,United States,SMB
CUST-100410,2025-03-09,Paid Ads,United States,Enterprise
CUST-100411,2024-03-11,outbound_sales,United Kingdom,SMB
CUST-100412,2024-05-18,Email Campaign,Netherlands,SMB
CUST-100413,2025-01-26,Paid Ads,Australia,SMB
CUST-100414,2025-11-08,Direct,United States,Mid-Market
CUST-100415,2025-07-04,Paid Ads,United States,Enterprise
CUST-100416,2024-01-24,outbound_sales,United Kingdom,Mid-Market
CUST-100417,2025-01-23,Direct,United States,SMB
CUST-100418,2024-04-25,Organic Search,Germany,SMB
CUST-100419,2024-01-17,Organic Search,United States,SMB
CUST-100420,2025-11-19,Email Campaign,United States,Mid-Market
CUST-100421,2024-08-27,Referral,Canada,Mid-Market
CUST-100422,2024-10-23,Organic Search,Australia,SMB
CUST-100423,2025-11-19,Direct,United States,Mid-Market
CUST-100424,2025-06-17,Organic Search,United States,SMB
CUST-100425,2024-06-28,Referral,United Kingdom,SMB
CUST-100426,2025-10-20,Referral,Canada,SMB
CUST-100427,2024-06-01,Paid Ads,United States,SMB
CUST-100428,2024-08-18,Paid Ads,Canada,Mid-Market
CUST-100429,2025-07-29,Paid Ads,United States,SMB
CUST-100430,2024-09-18,Organic Search,Germany,Enterprise
CUST-100431,2024-04-04,Referral,India,SMB
CUST-100432,2025-09-11,Referral,Australia,SMB
CUST-100433,2025-11-18,Referral,United Kingdom,Mid-Market
CUST-100434,2024-01-16,Organic Search,United States,Mid-Market
CUST-100435,2025-05-05,Social Media,Germany,Mid-Market
CUST-100436,2024-09-02,Referral,Canada,SMB
CUST-100437,2025-01-02,Paid Ads,United States,Mid-Market
CUST-100438,2025-04-25,Email Campaign,United States,SMB
CUST-100439,2024-02-16,Referral,United States,SMB
CUST-100440,2025-08-21,Referral,United States,SMB
CUST-100441,2025-01-23,Referral,United States,SMB
CUST-100442,2024-12-11,Paid Ads,India,Enterprise
CUST-100443,2025-05-17,Paid Ads,Canada,SMB
CUST-100444,2025-07-13,Paid Ads,Australia,SMB
CUST-100445,2024-03-01,Paid Ads,India,SMB
CUST-100446,2024-02-19,Email Campaign,United States,Mid-Market
CUST-100447,2024-06-03,Organic Search,United Kingdom,SMB
CUST-100448,2025-11-13,social media,Australia,Mid-Market
CUST-100449,2025-06-28,Referral,United States,SMB
CUST-100450,2024-10-20,Organic Search,India,Mid-Market
CUST-100451,2024-07-02,Organic Search,United States,SMB
CUST-100452,2025-06-23,Paid Ads,United States,Mid-Market
CUST-100453,2025-02-19,Paid Ads,United States,Mid-Market
CUST-100454,2024-03-23,Referral,India,Mid-Market
CUST-100455,2025-01-23,Paid Ads,United Kingdom,SMB
CUST-100456,2024-03-25,Paid Ads,United Kingdom,Mid-Market
CUST-100457,2024-04-07,Direct,Australia,SMB
CUST-100458,2025-08-03,Paid Ads,United States,SMB
CUST-100459,2025-07-10,Referral,United States,Enterprise
CUST-100460,2024-07-31,Referral,Canada,Mid-Market
CUST-100461,2024-03-19,Paid Ads,United Kingdom,SMB
CUST-100462,2025-11-24,Direct,United States,Mid-Market
CUST-100463,2024-03-21,Paid Ads,Netherlands,SMB
