subscription_id,customer_id,plan_name,billing_cycle,monthly_recurring_revenue,start_date,end_date,subscription_status,churn_reason
SUB-200000,CUST-100000,Starter,Annual,41.65,2025-10-16,,Active,
SUB-200001,CUST-100001,Starter,Monthly,49.0,2024-04-14,2024-06-04,Churned,Switched to Competitor
SUB-200002,CUST-100002,Professional,Monthly,149.0,2024-01-31,2024-07-26,Churned,High Price / Budget Cuts
SUB-200003,CUST-100003,Professional,Annual,126.65,2025-10-27,,Active,
SUB-200004,CUST-100004,Professional,Monthly,149.0,2024-01-07,2024-07-06,Churned,Poor Customer Support Experience
SUB-200005,CUST-100005,Professional,Monthly,149.0,2024-08-08,2024-08-29,Churned,Business Closed / Downsized
SUB-200006,CUST-100006,Professional,Annual,126.65,2024-12-18,,Active,
SUB-200007,CUST-100007,Starter,Monthly,49.0,2025-01-22,2025-08-17,Churned,Poor Customer Support Experience
SUB-200008,CUST-100008,Starter,Monthly,49.0,2025-01-05,2025-07-17,Churned,Poor Customer Support Experience
SUB-200009,CUST-100009,Professional,Annual,126.65,2024-10-23,,Active,
SUB-200010,CUST-100010,Starter,Monthly,49.0,2025-04-09,,Active,
SUB-200011,CUST-100011,Starter,Monthly,49.0,2024-09-30,2024-11-22,Churned,High Price / Budget Cuts
SUB-200012,CUST-100012,Starter,Monthly,49.0,2025-06-30,,Active,
SUB-200013,CUST-100013,Starter,Annual,41.65,2025-10-17,,Active,
SUB-200014,CUST-100014,Starter,Monthly,49.0,2024-02-27,2024-03-27,Churned,Business Closed / Downsized
SUB-200015,CUST-100015,Enterprise,Monthly,499.0,2024-08-04,,Active,
SUB-200016,CUST-100016,Starter,Monthly,49.0,2025-05-26,2025-08-29,Churned,Switched to Competitor
SUB-200017,CUST-100017,Professional,Monthly,149.0,2024-09-09,2024-12-20,Churned,High Price / Budget Cuts
SUB-200018,CUST-100018,Enterprise,Annual,424.15,2025-08-20,,Active,
SUB-200019,CUST-100019,Starter,Monthly,49.0,2024-04-03,,Active,
SUB-200020,CUST-100020,Starter,Monthly,49.0,2025-11-27,2025-12-31,Churned,Business Closed / Downsized
SUB-200021,CUST-100021,Enterprise,Annual,424.15,2025-06-25,,Active,
SUB-200022,CUST-100022,Professional,Monthly,149.0,2024-04-27,,Active,
SUB-200023,CUST-100023,Starter,Monthly,49.0,2024-04-24,2024-10-11,Churned,Poor Customer Support Experience
SUB-200024,CUST-100024,Professional,Monthly,149.0,2024-09-26,2025-02-12,Churned,Switched to Competitor
SUB-200025,CUST-100025,Starter,Monthly,49.0,2025-10-02,,Active,
SUB-200026,CUST-100026,Starter,Monthly,49.0,2024-06-14,,Active,
SUB-200027,CUST-100027,Starter,Annual,41.65,2024-11-27,2025-01-25,Churned,Business Closed / Downsized
SUB-200028,CUST-100028,Starter,Monthly,49.0,2024-11-10,2025-03-20,Churned,Switched to Competitor
SUB-200029,CUST-100029,Starter,Monthly,49.0,2025-05-12,2025-08-27,Churned,Missing Core Features
SUB-200030,CUST-100030,Starter,Annual,41.65,2025-11-06,2025-12-05,Churned,Business Closed / Downsized
SUB-200031,CUST-100031,Professional,Monthly,149.0,2025-03-09,2025-05-31,Churned,High Price / Budget Cuts
SUB-200032,CUST-100032,Starter,Monthly,49.0,2024-11-15,2024-12-28,Churned,Business Closed / Downsized
SUB-200033,CUST-100033,Starter,Annual,41.65,2025-04-07,,Active,
SUB-200034,CUST-100034,Professional,Monthly,149.0,2024-08-23,,Active,
SUB-200035,CUST-100035,Starter,Monthly,49.0,2024-03-10,2024-05-14,Churned,Business Closed / Downsized
SUB-200036,CUST-100036,Professional,Monthly,149.0,2025-11-16,2025-12-21,Churned,High Price / Budget Cuts
