customer_id,total_tickets_logged,avg_resolution_time_hrs,escalated_tickets_count,latest_csat_score,primary_issue_category
CUST-100000,0,0.0,0,,None
CUST-100001,3,39.4,0,3,Technical Bug
CUST-100002,2,53.4,0,3,Billing Inquiry
CUST-100003,3,14.2,0,4,Technical Bug
CUST-100004,3,52.6,0,1,Feature Request
CUST-100005,2,37.0,1,2,Onboarding Help
CUST-100006,1,16.5,0,4,Billing Inquiry
CUST-100007,2,64.1,0,1,Billing Inquiry
CUST-100008,3,47.7,1,1,Feature Request
CUST-100009,1,9.1,0,5,Onboarding Help
CUST-100010,0,0.0,0,,None
CUST-100011,1,40.1,1,2,Onboarding Help
CUST-100012,1,23.7,0,2,Onboarding Help
CUST-100013,0,0.0,0,,None
CUST-100014,0,0.0,0,,None
CUST-100015,0,0.0,0,,None
CUST-100016,2,29.4,1,3,Onboarding Help
CUST-100017,1,38.3,0,3,Technical Bug
CUST-100018,2,13.6,0,,Onboarding Help
CUST-100019,2,53.5,0,3,Feature Request
CUST-100020,3,27.8,0,2,Onboarding Help
CUST-100021,0,0.0,0,,None
CUST-100022,4,18.2,0,2,Onboarding Help
CUST-100023,2,26.5,0,2,Billing Inquiry
CUST-100024,3,43.1,0,3,Onboarding Help
CUST-100025,3,54.9,0,3,Billing Inquiry
CUST-100026,1,13.0,0,3,Technical Bug
CUST-100027,1,13.2,0,5,Onboarding Help
CUST-100028,4,50.7,0,1,Feature Request
CUST-100029,2,29.2,1,1,Technical Bug
CUST-100030,1,16.9,0,,Feature Request
CUST-100031,3,41.5,0,2,Billing Inquiry
CUST-100032,3,66.9,1,2,Technical Bug
CUST-100033,0,0.0,0,,None
CUST-100034,0,0.0,0,,None
CUST-100035,3,25.2,0,1,Feature Request
CUST-100036,2,18.5,0,3,Technical Bug
CUST-100037,0,0.0,0,,None
CUST-100038,2,19.2,0,2,Feature Request
CUST-100039,1,20.1,0,,Billing Inquiry
CUST-100040,1,67.6,0,2,Feature Request
CUST-100041,0,0.0,0,,None
CUST-100042,0,0.0,0,,None
CUST-100043,2,8.4,0,4,Technical Bug
CUST-100044,1,2.6,0,,Feature Request
CUST-100045,0,0.0,0,,None
CUST-100046,1,21.4,0,4,Onboarding Help
CUST-100047,0,0.0,0,,None
CUST-100048,2,14.6,0,1,Onboarding Help
CUST-100049,2,54.1,1,2,Feature Request
CUST-100050,0,0.0,0,,None
CUST-100051,1,38.3,1,2,Onboarding Help
CUST-100052,1,45.8,1,1,Feature Request
CUST-100053,2,15.0,0,1,Feature Request
CUST-100054,1,9.8,0,,Onboarding Help
CUST-100055,0,0.0,0,,None
CUST-100056,4,34.3,1,2,Billing Inquiry
CUST-100057,3,13.3,0,5,Onboarding Help
CUST-100058,3,63.1,0,2,Feature Request
CUST-100059,1,14.2,0,5,Feature Request
CUST-100060,0,0.0,0,,None
CUST-100061,0,0.0,0,,None
CUST-100062,3,46.9,0,1,Feature Request
CUST-100063,0,0.0,0,,None
CUST-100064,1,19.9,0,5,Billing Inquiry
CUST-100065,4,12.8,1,2,Billing Inquiry
CUST-100066,2,65.5,0,1,Feature Request
CUST-100067,2,29.4,0,1,Billing Inquiry
CUST-100068,0,0.0,0,,None
CUST-100069,0,0.0,0,,None
CUST-100070,1,20.6,0,4,Billing Inquiry
CUST-100071,2,63.1,0,1,Onboarding Help
CUST-100072,2,32.2,1,2,Technical Bug
CUST-100073,2,68.6,0,2,Billing Inquiry
CUST-100074,2,23.7,0,3,Technical Bug
CUST-100075,1,17.8,0,3,Billing Inquiry
CUST-100076,1,7.3,0,4,Billing Inquiry
CUST-100077,1,15.2,0,5,Onboarding Help
CUST-100078,2,15.8,0,1,Feature Request
CUST-100079,2,17.9,1,2,Billing Inquiry
CUST-100080,0,0.0,0,,None
CUST-100081,1,7.8,0,,Feature Request
CUST-100082,1,6.7,0,,Technical Bug
CUST-100083,4,32.5,0,1,Feature Request
CUST-100084,0,0.0,0,,None
CUST-100085,0,0.0,0,,None
CUST-100086,1,18.6,0,5,Onboarding Help
CUST-100087,0,0.0,0,,None
CUST-100088,3,31.3,1,1,Technical Bug
CUST-100089,0,0.0,0,,None
CUST-100090,2,71.0,1,2,Billing Inquiry
