customer_id,monthly_active_days,feature_adoption_rate_pct,avg_daily_session_mins,api_calls_count,export_reports_count
CUST-100000,23,69.0,108.7,129,45
CUST-100001,9,28.4,17.9,66,17
CUST-100002,10,28.5,21.7,37,36
CUST-100003,19,94.3,92.7,99,34
CUST-100004,11,31.2,5.9,137,16
CUST-100005,7,25.9,18.7,18,4
CUST-100006,24,67.0,93.4,68,37
CUST-100007,12,22.3,6.2,150,26
CUST-100008,6,39.9,7.1,136,32
CUST-100009,25,67.8,89.8,133,8
CUST-100010,10,34.4,4.2,121,14
CUST-100011,7,22.4,15.1,145,45
CUST-100012,13,11.0,16.5,58,5
CUST-100013,22,81.5,77.9,128,32
CUST-100014,1,36.7,11.0,133,20
CUST-100015,18,90.6,42.7,3245,45
CUST-100016,8,28.0,13.9,130,11
CUST-100017,5,11.6,18.0,128,44
CUST-100018,29,85.6,100.2,2705,29
CUST-100019,13,30.9,11.8,50,20
CUST-100020,8,20.0,12.3,138,1
CUST-100021,21,69.9,33.8,1858,17
CUST-100022,14,17.7,8.4,138,34
CUST-100023,4,15.3,10.6,128,18
CUST-100024,2,38.2,21.6,106,42
CUST-100025,14,30.4,17.3,126,37
CUST-100026,12,33.8,13.6,60,44
CUST-100027,16,90.7,41.1,38,45
CUST-100028,5,40.6,20.7,133,33
CUST-100029,14,38.9,17.5,57,19
CUST-100030,16,93.6,98.5,118,11
CUST-100031,14,20.4,4.6,45,9
CUST-100032,14,21.1,14.3,21,15
CUST-100033,15,52.7,70.7,71,9
CUST-100034,28,66.3,56.1,44,0
CUST-100035,9,14.7,6.3,124,3
CUST-100036,5,10.1,17.6,57,42
CUST-100037,15,53.5,35.8,1074,7
CUST-100038,11,14.8,16.9,25,45
CUST-100039,16,67.7,32.9,36,5
CUST-100040,11,20.4,15.9,63,40
CUST-100041,10,32.7,16.4,119,38
CUST-100042,22,68.3,26.8,26,6
CUST-100043,18,82.9,94.2,4521,43
CUST-100044,25,65.7,105.9,3600,27
CUST-100045,10,44.1,15.0,32,3
CUST-100046,21,65.8,83.5,1586,9
CUST-100047,24,64.0,48.0,89,36
CUST-100048,4,18.7,17.4,130,30
CUST-100049,14,12.1,16.1,109,24
CUST-100050,6,37.9,17.5,29,39
CUST-100051,5,21.6,15.6,87,42
CUST-100052,11,13.4,12.7,57,12
CUST-100053,11,14.8,14.8,92,25
CUST-100054,18,61.6,29.4,588,37
CUST-100055,27,77.3,54.4,2556,45
CUST-100056,5,40.3,16.7,53,4
CUST-100057,24,88.4,104.0,5408,42
CUST-100058,8,43.3,20.3,87,1
CUST-100059,25,67.1,49.2,885,0
CUST-100060,3,22.2,7.0,72,24
CUST-100061,16,69.5,100.9,94,24
CUST-100062,14,17.8,4.9,117,42
CUST-100063,12,24.1,9.1,113,13
CUST-100064,17,81.1,41.6,117,16
CUST-100065,14,41.0,20.6,114,7
CUST-100066,7,26.1,11.0,44,32
CUST-100067,12,28.4,22.0,14,7
CUST-100068,21,71.5,90.7,85,2
CUST-100069,28,81.1,107.6,92,19
CUST-100070,25,91.0,29.7,126,24
CUST-100071,6,40.0,20.2,137,27
CUST-100072,10,43.9,6.6,11,31
CUST-100073,3,42.4,16.0,120,40
CUST-100074,3,15.5,6.0,86,28
CUST-100075,2,25.9,8.9,122,32
CUST-100076,23,78.7,26.4,1663,30
CUST-100077,25,94.2,81.9,98,3
CUST-100078,5,44.8,13.9,150,28
CUST-100079,12,33.0,4.5,25,12
CUST-100080,23,65.7,73.7,810,18
CUST-100081,23,75.3,25.5,1836,23
CUST-100082,17,63.5,75.1,2102,29
CUST-100083,14,39.0,16.4,31,37
CUST-100084,19,81.5,92.4,75,23
CUST-100085,18,69.6,29.0,580,26
CUST-100086,24,69.6,99.7,143,22
CUST-100087,24,84.4,53.3,15,7
CUST-100088,12,18.5,7.7,114,5
CUST-100089,22,64.0,35.9,2297,0
CUST-100090,10,25.8,6.4,30,43
CUST-100091,26,52.5,27.5,67,14
CUST-100092,18,62.5,106.0,6784,13
CUST-100093,2,10.6,16.5,46,12
CUST-100094,22,57.2,67.8,10,34
CUST-100095,1,16.9,4.5,70,8
CUST-100096,28,93.8,33.5,1273,37
CUST-100097,29,64.1,45.9,135,28
CUST-100098,26,80.7,47.5,123,27
CUST-100099,3,31.6,5.0,129,28
CUST-100100,7,39.7,8.8,86,22
CUST-100101,11,27.9,21.1,116,37
CUST-100102,4,10.2,6.2,146,14
CUST-100103,27,93.0,91.6,4305,33
CUST-100104,4,37.4,13.3,126,32
CUST-100105,29,93.2,80.4,43,23
CUST-100106,19,74.6,72.5,1595,41
CUST-100107,13,34.9,10.2,98,20
CUST-100108,8,41.5,16.2,108,13
CUST-100109,29,83.9,83.1,98,26
CUST-100110,14,37.3,7.9,42,17
CUST-100111,20,89.6,66.0,1452,34
CUST-100112,9,17.1,6.9,42,12
CUST-100113,19,70.1,109.4,3610,8
CUST-100114,13,27.1,9.7,114,4
CUST-100115,8,25.5,19.0,118,32
CUST-100116,23,83.6,30.6,68,2
CUST-100117,12,38.7,16.0,54,23
CUST-100118,27,72.9,51.8,92,40
CUST-100119,8,23.6,12.4,54,37
CUST-100120,28,94.8,42.0,77,3
CUST-100121,19,75.3,106.8,59,22
CUST-100122,6,26.7,16.0,3,20
CUST-100123,1,11.2,14.3,90,25
CUST-100124,7,38.0,19.1,112,3
CUST-100125,24,90.8,107.9,135,8
CUST-100126,19,81.0,64.0,3904,39
CUST-100127,8,39.5,13.8,109,8
CUST-100128,5,12.0,15.7,45,6
CUST-100129,15,61.6,66.4,9,3
